rank,name,net_worth_billion_dollars,category
1,Elon Musk,219,Automotive
2,Jeff Bezos,171,Technology
3,Bernard Arnault & family,158,Fashion & Retail
4,Bill Gates,129,Technology
5,Warren Buffett,118,Finance & Investments
6,Larry Page,111,Technology
7,Sergey Brin,107,Technology
8,Larry Ellison,106,Technology
9,Steve Ballmer,91.4,Technology
10,Mukesh Ambani,90.7,Diversified
11,Gautam Adani,90,Diversified
12,Michael Bloomberg,82,Media & Entertainment
13,Carlos Slim Helu & family,81.2,Telecom
14,Francoise Bettencourt Meyers & family,74.8,Fashion & Retail
15,Mark Zuckerberg,67.3,Technology
16,Jim Walton,66.2,Fashion & Retail
17,Zhong Shanshan,65.7,Food & Beverage
18,Alice Walton,65.3,Fashion & Retail
19,Rob Walton,65,Fashion & Retail
19,Changpeng Zhao,65,Finance & Investments